calle_nombre,calle_altura,comuna,total_arboles,maduros,medianos,jovenes,lat,long
Achega,3000,12,19,6,7,6,-34.574191,-58.499987
Achega,3000.0,12,9,6,1,2,-34.574171,-58.500063
Achega,3100,12,1,0,0,1,-34.573923,-58.500261
Achega,3100.0,12,34,16,13,5,-34.573172,-58.50083
Achega,3200.0,12,26,8,14,4,-34.572124,-58.501647
Achega,3300.0,12,21,6,13,2,-34.571205,-58.502394
Achega,3400.0,12,44,20,16,8,-34.569896,-58.503463
Achega,3405.0,12,1,0,1,0,-34.570578,-58.502851
Achega,3500.0,12,23,4,13,6,-34.568373,-58.504681
Achira,4900.0,12,17,3,11,3,-34.56046,-58.491785
Achupallas,1600.0,11,6,3,3,0,-34.609216,-58.466717
Aconcagua,5600,9,18,4,10,4,-34.644947,-58.504259
Aconcagua,5600,10,7,1,4,2,-34.644246,-58.5034
Aconcagua,5600.0,10,8,0,6,2,-34.644283,-58.503535
Aconcagua,5700,9,21,4,13,4,-34.645674,-58.5051
Aconcagua,5800,9,17,2,11,4,-34.646242,-58.50574
Aconcagua,5900,9,15,1,9,5,-34.64695,-58.506586
Acosta Mariano,100,10,13,7,6,0,-34.635592,-58.480395
Acosta Mariano,100.0,10,9,3,5,1,-34.635656,-58.480153
Acosta Mariano,1000,9,25,2,17,6,-34.642231,-58.4719
Acosta Mariano,1100,9,24,1,22,1,-34.643157,-58.470709
Acosta Mariano,1200,9,31,0,25,6,-34.644231,-58.469357
Acosta Mariano,1300,9,23,2,19,2,-34.645275,-58.468061
Acosta Mariano,1400,9,5,2,2,1,-34.646394,-58.466717
Acosta Mariano,1450,9,2,0,2,0,-34.646761,-58.466281
Acosta Mariano,1500,9,20,4,11,5,-34.647073,-58.465701
Acosta Mariano,1550,9,4,0,4,0,-34.647625,-58.465183
Acosta Mariano,1600,9,10,1,8,1,-34.647391,-58.465267
Acosta Mariano,1700.0,7,10,6,4,0,-34.649116,-58.463143
Acosta Mariano,1800.0,7,2,1,1,0,-34.649839,-58.46215
Acosta Mariano,1900.0,7,11,6,5,0,-34.650663,-58.461155
Acosta Mariano,200,10,21,4,9,8,-34.636392,-58.479296
Acosta Mariano,2000.0,7,7,2,5,0,-34.651805,-58.459526
Acosta Mariano,2300.0,7,3,0,3,0,-34.653445,-58.457672
Acosta Mariano,2400.0,7,11,0,11,0,-34.653917,-58.457011
Acosta Mariano,250,10,4,1,3,0,-34.636664,-58.479068
Acosta Mariano,300,9,7,2,2,3,-34.63745,-58.478033
Acosta Mariano,300,10,5,0,3,2,-34.637499,-58.477796
Acosta Mariano,400,9,8,2,6,0,-34.63805,-58.477274
Acosta Mariano,400,10,13,1,11,1,-34.638122,-58.477011
Acosta Mariano,500,9,7,0,7,0,-34.638619,-58.476551
Acosta Mariano,600,9,2,1,1,0,-34.639127,-58.475893
Acosta Mariano,700,1,1,0,0,1,-34.639389,-58.47543
